"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/男性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
207,"大政　絢",9.9,37.2,0.7,3.9,2.9,1.5,9.1,7.5,7.2
213,"黒木　瞳",9.8,51.6,0.2,3.4,3.3,2.4,2.1,4.5,19.7
213,"真矢　ミキ",9.8,49.7,0.9,3.6,4.1,3.6,1.0,9.4,18.7
213,"鷲見　玲奈",9.8,39.6,2.2,3.3,2.4,1.9,11.3,0.9,5.3
213,"常盤　貴子",9.8,36.4,1.0,2.9,1.5,2.4,3.1,2.7,11.8
217,"和田　アキ子",9.6,78.4,8.4,1.0,19.0,3.1,1.5,6.7,7.0
217,"森高　千里",9.6,45.3,0.5,3.9,2.4,2.6,7.4,3.4,14.1
217,"栗山　千明",9.6,42.2,1.7,3.8,6.2,2.4,3.4,8.7,10.5
217,"戸田　恵子",9.6,40.7,2.9,1.4,6.2,4.3,1.0,3.3,9.8
217,"乙葉",9.6,36.5,1.4,4.1,2.9,1.5,10.3,0.2,5.1
217,"伊原　六花",9.6,32.2,1.7,4.1,4.5,1.5,10.8,2.1,2.1
223,"黒木　華",9.4,40.7,0.9,3.4,7.4,2.6,5.1,1.4,5.3
223,"麻生　久美子",9.4,36.0,0.5,3.1,2.9,3.4,2.7,3.9,12.9
223,"瀧本　美織",9.4,37.6,0.5,3.9,2.4,1.7,11.5,1.4,5.1
226,"森　泉",9.3,61.4,11.5,1.7,14.8,2.1,2.6,2.1,5.1
226,"ＬｉＬｉＣｏ",9.3,60.9,12.2,1.5,14.9,3.9,1.4,5.8,5.8
226,"宮沢　りえ",9.3,53.3,0.3,2.6,5.3,2.9,2.1,4.3,19.0
226,"高橋メアリ－ジュン",9.3,42.2,1.5,1.9,5.5,1.7,3.6,7.4,7.2
226,"吹石　一恵",9.3,41.3,0.7,3.6,3.8,1.5,3.1,2.7,11.5
226,"尾野　真千子",9.3,36.2,1.5,1.2,3.9,2.2,2.9,3.3,11.0
226,"松下　由樹",9.3,36.5,2.1,1.7,3.6,2.7,0.7,2.4,11.8
226,"市川　実日子",9.3,28.1,1.4,1.7,7.9,3.3,1.5,5.3,8.1
226,"武田　玲奈",9.3,29.7,0.3,3.1,2.2,1.2,9.6,1.2,2.1
235,"大竹　しのぶ",9.1,64.3,5.0,1.5,9.9,4.3,2.1,3.3,15.6
235,"山崎　静代",9.1,58.3,19.9,0.7,16.5,3.1,0.9,2.1,1.5
235,"ＳＨＥＬＬＹ",9.1,55.7,9.4,2.1,9.3,3.4,1.7,5.1,5.0
235,"観月　ありさ",9.1,50.1,2.1,2.7,3.6,2.7,3.1,4.5,14.8
235,"蛯原　友里",9.1,42.0,1.0,4.3,3.3,1.7,11.0,6.0,8.1
235,"神田　愛花",9.1,43.6,9.8,1.9,7.2,3.3,2.1,0.9,3.3
235,"木村　多江",9.1,40.8,1.7,2.4,3.6,2.6,2.2,2.7,12.7
235,"高島　彩",9.1,42.0,0.7,5.0,2.1,4.6,6.2,2.2,8.7
235,"山崎　怜奈",9.1,30.4,2.2,3.4,3.3,2.4,9.1,0.9,1.5
244,"清水　ミチコ",8.9,53.7,18.4,1.0,13.0,2.7,0.7,2.6,5.5
244,"高橋　真麻",8.9,53.0,11.3,1.0,10.8,3.1,1.7,0.5,3.9
244,"山口　もえ",8.9,50.6,5.0,3.4,7.5,2.1,7.0,0.9,6.2
244,"玉城　ティナ",8.9,40.5,0.5,2.9,5.5,1.4,16.5,1.9,2.6
248,"松本　若菜",8.7,24.7,1.4,2.1,2.2,2.6,4.5,2.7,6.5
249,"貫地谷　しほり",8.6,38.6,0.5,3.1,4.1,2.1,5.8,0.9,5.3
249,"福田　麻貴",8.6,39.3,13.2,0.7,3.9,1.0,2.7,0.3,1.4
249,"桜田　ひより",8.6,25.9,1.0,3.6,1.5,0.9,12.5,1.4,1.4
252,"益若　つばさ",8.4,54.7,0.9,1.9,9.6,1.0,11.5,2.4,3.1
252,"大沢　あかね",8.4,51.8,8.7,1.2,6.3,2.1,4.6,0.9,3.4
252,"片桐　はいり",8.4,48.4,5.0,0.9,20.1,2.1,0.5,1.5,3.8
252,"大地　真央",8.4,43.4,1.7,2.4,4.6,2.4,0.7,8.1,13.9
252,"門脇　麦",8.4,39.3,1.2,2.4,9.8,2.1,7.4,1.7,4.1
252,"井川　遥",8.4,36.2,0.7,3.8,1.5,1.7,6.2,4.6,13.2
258,"滝川　クリステル",8.2,70.5,0.9,10.3,7.4,5.5,2.4,8.6,17.2
258,"山之内　すず",8.2,47.3,3.1,3.8,5.1,1.2,14.2,0.7,1.5
258,"沢口　靖子",8.2,40.5,0.5,2.7,4.1,3.4,1.4,2.7,12.5
258,"矢田　亜希子",8.2,41.3,1.9,3.6,3.1,1.5,6.0,1.7,9.1
258,"国仲　涼子",8.2,34.5,0.3,3.4,2.4,1.9,7.4,1.4,9.4
258,"三吉　彩花",8.2,30.2,0.3,2.9,2.9,1.2,8.6,6.9,5.0
264,"高畑　淳子",8.1,49.4,3.4,1.4,6.3,3.4,0.7,2.2,12.2
264,"長谷川　京子",8.1,40.8,0.3,2.4,3.3,2.2,3.1,4.3,12.5
264,"なえなの",8.1,34.6,2.2,1.4,4.1,0.7,11.3,0.2,0.9
264,"黒島　結菜",8.1,29.0,0.5,3.3,3.9,1.5,7.9,1.9,2.7
264,"齊藤　なぎさ",8.1,27.4,0.2,1.5,1.0,1.0,13.0,0.9,0.7
269,"ダレノガレ明美",7.9,63.3,4.6,2.4,9.8,1.4,6.3,2.6,5.1
269,"磯野　貴理子",7.9,59.0,18.4,1.2,10.8,2.7,1.9,1.7,4.8
269,"安　めぐみ",7.9,44.9,2.7,3.1,3.6,1.7,7.0,0.2,7.5
272,"眞鍋　かをり",7.7,53.9,4.3,3.3,4.3,2.9,4.6,1.9,9.1
272,"薬師丸　ひろ子",7.7,49.1,0.9,1.7,3.3,3.3,2.9,3.6,16.0
272,"檀　れい",7.7,39.8,0.5,3.4,2.1,2.6,2.4,4.6,15.4
272,"鈴木　京香",7.7,36.9,0.3,2.7,2.4,1.9,1.9,3.8,14.1
272,"中谷　美紀",7.7,37.7,0.3,2.7,3.3,1.9,1.5,5.0,11.8
272,"深川　麻衣",7.7,21.6,0.7,2.1,1.9,1.7,7.2,1.0,2.9
272,"山田　杏奈",7.7,24.2,0.5,3.8,2.2,1.5,10.1,1.0,1.4
279,"かなで",7.5,52.8,19.7,0.3,11.3,1.2,2.9,0.9,0.5
279,"山口　智子",7.5,28.3,1.5,1.5,2.7,2.1,2.1,3.9,11.0
279,"樋口　日奈",7.5,19.9,1.0,2.7,1.5,1.9,7.7,1.4,3.3
282,"村上　佳菜子",7.4,49.7,6.5,1.5,6.3,1.2,4.5,1.2,1.5
282,"永尾　柚乃",7.4,37.4,3.4,0.5,7.0,1.0,10.1,0.5,0.7
