"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
100,"草なぎ　剛",22.0,75.3,8.2,5.3,17.5,4.3,2.2,13.4,7.9
101,"千原　ジュニア",21.8,76.3,31.6,1.5,13.6,3.9,0.5,1.7,3.3
101,"及川　光博",21.8,60.5,5.3,7.4,12.2,2.9,0.9,17.0,16.6
101,"堤　真一",21.8,61.4,5.5,2.6,7.9,4.3,0.9,11.8,21.4
104,"市原　隼人",21.6,63.1,2.4,4.5,8.6,3.9,0.7,25.0,7.9
104,"菊池　風磨",21.6,62.6,17.8,5.7,6.2,2.9,2.2,18.9,2.6
104,"高橋　一生",21.6,62.3,3.4,6.7,12.0,4.1,1.7,15.6,12.3
107,"松平　健",21.4,69.3,5.8,2.4,12.5,5.0,0.9,7.5,20.2
108,"山田　涼介",21.3,66.4,6.0,12.2,5.8,4.1,7.0,32.6,3.9
109,"名倉　潤",21.1,74.6,25.7,2.1,11.5,5.0,1.2,1.5,3.9
110,"山下　智久",20.9,69.8,1.4,8.9,6.3,2.7,1.5,35.0,9.1
110,"風間　俊介",20.9,61.6,7.5,7.0,8.6,5.8,4.1,8.4,3.4
112,"竹中　直人",20.8,67.2,15.3,2.1,21.3,3.3,1.2,7.7,16.8
112,"水谷　豊",20.8,67.6,3.1,3.3,11.8,6.0,1.0,9.4,25.7
112,"八嶋　智人",20.8,60.0,23.7,1.7,15.3,3.4,0.3,1.7,4.3
112,"吉沢　亮",20.8,60.7,2.1,8.4,6.0,4.1,1.2,27.6,4.3
112,"安田　顕",20.8,46.7,11.0,1.7,11.8,3.1,0.7,6.2,10.3
117,"オダギリ　ジョ－",20.6,66.9,2.6,2.2,19.4,3.9,0.2,20.4,19.7
118,"香川　照之",20.4,69.1,6.2,1.0,14.9,2.4,1.0,3.6,9.3
118,"妻夫木　聡",20.4,63.6,1.4,9.4,3.6,3.6,0.9,22.6,9.8
118,"見取り図",20.4,65.7,27.1,0.5,9.1,2.1,0.5,1.9,0.9
118,"大沢　たかお",20.4,57.5,2.2,4.1,6.5,6.2,0.3,16.3,18.5
122,"高橋　克実",20.2,66.6,15.1,1.0,15.6,3.8,1.7,2.2,7.9
123,"綾野　剛",20.1,69.8,1.5,3.4,12.7,3.8,0.9,21.6,11.1
123,"斎藤　工",20.1,61.9,3.1,2.9,8.9,3.4,0.9,23.5,19.9
123,"吉田　鋼太郎",20.1,61.9,7.7,1.5,10.1,5.3,2.1,8.2,19.2
126,"役所　広司",19.9,64.5,3.8,3.1,10.6,5.1,0.7,12.3,23.5
126,"松山　ケンイチ",19.9,63.1,3.4,2.1,13.0,2.9,0.5,12.7,11.7
128,"柳沢　慎吾",19.7,70.0,27.6,0.9,17.0,2.4,1.2,2.1,3.4
128,"藤森　慎吾",19.7,68.4,19.9,3.4,11.5,3.3,0.9,6.7,2.7
128,"柴田　英嗣",19.7,63.3,23.7,2.7,8.6,2.6,1.0,2.1,2.6
128,"小日向　文世",19.7,59.2,6.2,2.4,13.6,4.3,2.7,1.5,8.4
132,"今田　耕司",19.6,76.3,26.6,2.1,10.8,4.3,0.7,2.1,2.6
132,"関根　勤",19.6,72.0,22.5,2.2,13.2,5.5,1.2,2.2,6.5
132,"渡辺　謙",19.6,67.6,1.7,2.1,7.5,4.8,0.3,16.1,26.8
132,"佐藤　隆太",19.6,64.8,4.6,6.7,7.0,4.6,1.4,10.3,6.2
136,"岡村　隆史",19.4,78.0,31.9,1.4,12.7,3.3,0.9,1.2,1.7
136,"高橋　茂雄",19.4,69.1,27.4,2.1,11.1,2.9,1.4,0.7,1.4
138,"木梨　憲武",19.2,70.2,21.1,1.0,15.4,4.1,0.5,5.1,9.8
138,"沢村　一樹",19.2,62.3,8.6,4.8,7.9,3.4,1.4,15.8,17.5
138,"柳葉　敏郎",19.2,62.8,3.6,1.9,9.6,5.7,0.3,12.2,24.2
141,"田中　直樹",19.0,64.8,25.2,0.9,11.1,3.1,1.5,1.4,3.1
141,"岡田　将生",19.0,58.7,2.1,10.8,3.1,3.3,2.2,25.7,4.6
141,"佐々木　蔵之介",19.0,57.5,1.4,3.6,6.7,3.8,1.0,14.8,17.2
141,"北村　一輝",19.0,55.4,2.1,2.4,9.3,2.6,1.5,14.4,16.8
141,"森田　哲矢",19.0,50.4,21.6,1.2,9.3,2.2,0.9,0.5,1.4
146,"鈴木　福",18.9,76.2,3.6,5.1,8.6,5.0,10.5,4.3,1.7
147,"亀梨　和也",18.7,73.4,2.6,8.6,7.2,2.6,1.5,30.5,7.4
147,"又吉　直樹",18.7,74.1,18.0,1.4,26.8,3.1,0.3,2.2,4.3
149,"ＨＩＫＡＫＩＮ",18.5,82.2,20.9,1.5,16.3,6.0,1.0,1.7,1.0
149,"生田　斗真",18.5,64.3,2.9,6.2,4.6,3.4,1.0,28.3,6.0
151,"稲垣　吾郎",18.4,73.6,3.6,7.0,11.5,3.4,0.7,15.8,13.9
152,"ユ－スケ・サンタマリア",18.2,66.2,13.0,2.4,15.6,2.2,0.7,4.8,8.2
152,"中村　倫也",18.2,59.2,5.1,8.2,8.2,2.9,3.6,16.6,5.5
154,"羽鳥　慎一",18.0,68.4,4.1,7.9,5.5,10.1,0.3,2.4,5.0
154,"ぺこぱ",18.0,71.2,26.1,1.9,12.2,2.4,1.5,1.5,0.9
156,"伊沢　拓司",17.8,65.0,8.4,2.7,11.5,9.1,0.7,3.1,2.2
156,"横浜　流星",17.8,59.2,1.7,8.7,5.5,3.8,1.5,29.5,4.3
156,"滝藤　賢一",17.8,49.6,5.1,1.4,17.7,1.5,0.5,7.2,11.7
159,"塚地　武雅",17.7,67.6,24.4,0.9,14.4,2.7,0.9,1.0,1.5
159,"堂本　剛",17.7,66.2,6.0,2.2,14.2,2.9,0.9,16.6,9.8
159,"山崎　賢人",17.7,64.8,3.1,8.1,6.5,3.1,2.4,30.4,4.1
162,"向井　理",17.5,65.4,1.7,9.8,3.9,3.1,1.2,25.9,9.1
163,"林　修",17.3,75.6,8.1,1.4,13.4,12.7,0.3,1.5,4.8
163,"舘　ひろし",17.3,65.5,2.1,2.6,7.0,4.1,0.9,17.3,27.4
163,"北大路　欣也",17.3,62.6,2.6,2.4,8.2,5.8,0.9,10.6,25.0
163,"豊川　悦司",17.3,53.0,1.5,1.7,7.7,3.4,0.5,14.1,21.3
167,"太田　光",17.2,75.1,24.9,1.2,22.0,4.5,1.0,1.9,2.9
167,"桐谷　健太",17.2,60.4,7.2,3.1,9.8,1.9,0.9,16.0,5.3
167,"平子　祐希",17.2,51.1,18.4,1.5,7.7,2.4,0.5,4.8,8.6
170,"東野　幸治",17.0,74.8,23.3,1.0,12.9,3.6,0.7,0.9,2.4
170,"速水　もこみち",17.0,72.0,3.3,7.9,7.7,3.1,0.5,25.6,8.9
170,"小泉　孝太郎",17.0,67.9,2.7,9.1,5.8,4.1,1.4,11.3,6.0
170,"ティモンディ",17.0,65.9,21.8,2.4,10.8,2.7,1.0,0.5,0.9
170,"窪田　正孝",17.0,54.9,2.4,5.1,7.5,2.2,1.9,18.2,4.6
175,"竹内　涼真",16.8,63.3,1.5,7.5,5.0,2.2,1.0,25.0,4.3
175,"中井　貴一",16.8,57.5,2.9,2.4,8.2,5.7,0.7,8.1,19.2
175,"ニュ－ヨ－ク",16.8,62.8,21.8,0.3,8.9,1.5,0.7,0.9,0.5
178,"ＥＸＩＴ",16.6,76.2,21.4,1.5,13.0,2.2,1.5,4.5,1.7
178,"織田　裕二",16.6,66.2,4.3,3.9,11.5,5.3,0.7,12.2,15.1
178,"藤岡　弘、",16.6,67.8,5.3,1.5,20.1,6.3,1.5,7.2,15.4
178,"北村　匠海",16.6,52.5,1.7,5.1,5.5,2.7,2.2,19.6,3.1
178,"山本　耕史",16.6,55.1,6.7,4.3,9.1,3.6,1.0,13.0,9.6
183,"武井　壮",16.5,73.8,12.0,1.2,18.7,4.6,0.3,5.0,3.3
183,"山口　智充",16.5,61.6,19.6,0.7,9.6,3.6,0.3,3.6,5.3
183,"目黒　蓮",16.5,58.5,1.5,9.6,3.1,2.6,2.1,25.6,3.4
183,"生瀬　勝久",16.5,53.0,8.2,1.5,12.9,4.3,0.7,4.1,12.0
187,"長嶋　一茂",16.3,73.8,16.6,1.2,14.8,1.4,0.7,3.3,5.3
187,"柳楽　優弥",16.3,45.6,1.7,2.9,10.3,2.7,0.7,13.2,5.7
189,"堂本　光一",16.1,65.0,4.5,6.3,6.5,3.4,1.0,19.2,9.9
189,"矢部　浩之",16.1,65.4,18.0,1.4,7.9,2.9,0.9,1.9,2.6
189,"岡部　大",16.1,59.2,21.8,2.2,8.6,3.8,2.1,1.9,0.9
192,"吉川　晃司",16.0,58.7,2.1,2.1,7.0,3.6,0.9,16.8,21.8
192,"中島　健人",16.0,58.8,4.8,8.2,5.5,2.2,3.3,25.6,3.9
192,"松田　翔太",16.0,55.6,0.5,3.6,10.6,2.9,0.2,20.4,10.5
195,"田中　裕二",15.8,71.9,22.5,1.2,10.6,3.1,2.1,1.0,1.9
195,"伊藤　俊介",15.8,54.4,19.9,1.0,9.9,2.2,0.5,0.9,1.7
197,"田村　淳",15.6,76.2,20.8,1.9,14.2,3.3,0.7,2.7,2.6
197,"川平　慈英",15.6,59.9,9.9,2.1,13.9,3.1,0.9,2.6,4.5
197,"松丸　亮吾",15.6,61.6,5.5,7.4,9.8,4.1,6.7,6.0,1.4
197,"古田　新太",15.6,56.8,7.0,0.5,19.2,2.7,0.5,2.6,9.4
201,"福士　蒼汰",15.4,65.4,1.5,7.7,4.8,2.2,2.1,28.3,3.6
201,"リリ－・フランキ－",15.4,58.8,5.0,1.7,16.6,2.9,0.3,6.0,16.5
201,"佐久間　宜行",15.4,48.4,13.0,1.0,8.7,3.9,1.0,0.7,2.7
204,"石原　良純",15.3,72.2,14.1,0.9,15.3,4.6,0.7,1.9,5.5
204,"伊集院　光",15.3,71.9,16.0,1.4,13.9,8.4,0.7,1.4,2.9
204,"南原　清隆",15.3,66.6,18.4,2.1,7.5,3.8,0.5,1.0,3.6
204,"岡田　圭右",15.3,65.7,21.6,1.0,8.7,1.9,0.3,2.2,2.7
204,"岩井　勇気",15.3,62.3,18.7,1.9,13.7,2.6,0.5,0.9,0.7
204,"伊藤　英明",15.3,59.2,1.2,2.6,5.0,2.6,0.5,19.0,17.0
204,"佐藤　浩市",15.3,56.3,1.4,2.7,5.3,5.1,1.2,12.3,23.5
204,"藤井　隆",15.3,56.6,17.5,1.4,13.2,4.5,0.5,2.4,3.3
212,"濱田　岳",15.1,55.9,7.0,2.7,16.0,2.4,2.7,1.5,2.7
212,"志尊　淳",15.1,52.7,1.4,6.5,3.9,1.7,5.1,21.8,2.7
212,"山田　裕貴",15.1,46.7,3.8,5.3,5.7,3.6,2.1,14.6,2.2
215,"加藤　浩次",14.9,72.9,12.3,1.4,11.7,5.1,0.5,2.2,5.5
216,"要　潤",14.8,60.7,2.6,4.6,6.3,3.4,0.2,17.2,12.9
216,"片桐　仁",14.8,43.7,9.8,1.2,16.0,1.5,0.5,2.1,3.9
218,"関口　メンディ－",14.6,69.3,14.2,1.0,15.3,1.4,1.0,11.8,1.4
218,"ミキ",14.6,65.5,23.7,0.9,7.7,1.9,1.0,0.5,0.3
218,"伊藤　淳史",14.6,58.3,4.8,3.4,11.1,2.1,2.2,1.9,2.1
218,"江口　洋介",14.6,55.9,0.5,3.1,4.1,3.3,0.3,18.5,17.0
218,"平野　紫耀",14.6,58.7,6.7,7.2,5.1,2.2,3.4,25.4,2.2
218,"中尾　明慶",14.6,51.3,5.1,2.1,6.3,1.7,2.7,7.7,4.6
218,"寺島　進",14.6,44.6,1.7,1.2,6.9,1.7,0.3,8.4,14.8
218,"ひょうろく",14.6,42.0,13.4,0.5,13.2,1.4,1.4,0.9,1.4
226,"ウエンツ　瑛士",14.4,71.9,9.6,5.1,9.8,2.1,2.2,11.7,2.4
226,"井ノ原　快彦",14.4,62.6,5.8,6.2,5.0,6.0,1.2,7.5,8.1
226,"六角　精児",14.4,60.0,7.7,1.4,20.6,2.9,0.7,1.0,4.6
226,"千葉　雄大",14.4,55.9,2.1,5.7,3.8,1.5,11.8,13.0,3.1
226,"槙野　智章",14.4,55.4,9.1,2.4,7.4,2.9,0.5,9.8,3.9
226,"板尾　創路",14.4,53.3,12.7,0.5,16.0,1.4,0.3,1.9,5.1
232,"土田　晃之",14.2,69.8,19.7,0.9,10.8,4.5,1.0,1.0,3.4
232,"椎名　桔平",14.2,48.4,1.0,2.4,5.1,3.1,0.7,11.5,17.5
234,"ヒロミ",14.1,76.3,14.1,1.5,13.7,5.1,0.7,3.1,7.2
234,"仲村　トオル",14.1,53.2,1.5,2.1,3.8,2.2,0.7,13.9,17.2
234,"バッテリィズ",14.1,47.9,20.9,0.5,6.9,1.5,1.4,0.9,0.7
