"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
148,"さまぁ～ず",20.1,86.1,35.4,1.7,11.2,5.4,0.8,1.2,5.0
148,"山崎　育三郎",20.1,73.5,6.2,11.2,7.5,7.2,1.4,24.8,10.8
150,"堂本　光一",19.9,82.8,9.9,8.7,9.7,6.6,1.7,30.8,15.1
150,"ぺこぱ",19.9,80.7,32.1,1.7,17.2,3.1,2.5,0.8,0.2
150,"タイムマシ－ン３号",19.9,64.6,31.9,1.5,9.5,3.1,1.5,0.4,1.2
153,"澤部　佑",19.7,85.5,40.6,2.3,11.0,4.6,2.7,0.4,1.5
153,"ＤＥＡＮ　ＦＵＪＩＯＫＡ",19.7,80.9,1.9,7.9,9.9,4.8,0.8,30.6,34.2
153,"錦鯉",19.7,79.3,32.5,1.2,13.7,1.7,1.9,0.6,2.5
153,"町田　啓太",19.7,52.6,1.2,10.6,2.9,3.7,1.0,25.9,6.6
157,"福士　蒼汰",19.5,82.6,1.7,13.7,4.8,3.5,4.1,39.3,3.9
157,"小日向　文世",19.5,76.6,8.3,3.9,17.2,9.3,3.3,2.1,13.9
157,"三浦　翔平",19.5,75.0,4.3,10.3,3.9,3.5,2.5,34.4,6.2
157,"渡辺　翔太",19.5,63.6,10.3,13.2,7.4,3.5,6.6,21.7,4.1
157,"磯村　勇斗",19.5,57.3,2.3,4.8,7.2,3.3,1.5,22.2,4.6
162,"松平　健",19.3,81.6,8.3,4.1,10.6,8.1,1.0,8.5,21.1
163,"市原　隼人",19.1,77.9,3.3,7.0,11.4,5.4,1.5,28.8,10.3
163,"向井　康二",19.1,65.6,23.8,5.2,7.9,2.7,5.0,16.2,2.5
165,"桑田　佳祐",19.0,82.8,6.4,2.1,14.9,6.6,1.2,9.3,17.8
165,"水谷　豊",19.0,80.1,2.7,5.2,11.0,10.1,0.4,10.3,31.3
165,"満島　真之介",19.0,67.9,19.5,5.8,13.7,3.1,1.4,16.2,4.4
165,"角田　晃広",19.0,59.6,25.5,2.3,13.2,3.1,1.0,1.7,3.7
169,"香取　慎吾",18.8,86.8,14.7,5.2,18.2,5.6,1.5,13.9,7.7
169,"児嶋　一哉",18.8,81.4,35.4,2.9,11.4,3.5,1.7,1.4,2.1
171,"竹中　直人",18.6,78.3,18.4,2.1,21.1,4.3,1.0,5.4,17.0
172,"劇団ひとり",18.4,85.9,38.1,2.1,15.5,6.0,0,1.4,2.3
172,"舘　ひろし",18.4,78.1,2.5,5.6,6.2,7.9,0.4,18.6,40.4
172,"北村　一輝",18.4,74.7,4.1,3.9,15.9,5.8,0.4,17.4,28.2
172,"山本　耕史",18.4,75.8,9.9,7.0,13.0,5.2,1.4,13.5,11.8
172,"赤楚　衛二",18.4,59.6,2.5,11.4,4.1,3.3,7.2,24.6,2.7
177,"竹内　涼真",18.2,82.2,3.5,10.8,8.3,3.1,2.5,31.1,4.1
177,"見取り図",18.2,73.9,33.7,1.2,10.4,1.9,0,1.7,1.0
177,"中島　裕翔",18.2,65.4,2.9,9.7,4.3,2.7,4.4,29.4,2.9
177,"杉野　遥亮",18.2,58.2,2.9,11.4,5.0,2.9,6.2,26.1,2.7
181,"笑福亭　鶴瓶",18.0,87.2,33.5,1.9,14.5,8.5,4.1,0.6,4.6
181,"おぎやはぎ",18.0,86.1,34.4,1.7,13.9,3.9,1.2,1.2,4.6
181,"小池　徹平",18.0,81.4,3.1,11.0,4.3,2.3,21.7,22.4,3.9
181,"堀内　健",18.0,82.8,41.2,1.5,21.7,1.5,1.0,0.6,1.5
181,"八嶋　智人",18.0,73.7,32.3,2.1,19.5,4.6,1.2,1.5,2.1
181,"生瀬　勝久",18.0,71.4,13.9,2.7,15.7,8.3,0.8,3.5,16.1
187,"柄本　佑",17.8,69.6,3.9,3.1,26.3,4.6,0.4,6.6,9.7
188,"松岡　修造",17.6,85.9,21.7,6.0,19.5,7.5,0.6,3.9,3.3
188,"濱田　岳",17.6,75.2,11.2,2.7,24.0,3.9,4.8,2.7,2.3
190,"岡村　隆史",17.4,86.8,42.0,2.7,12.8,2.7,1.7,0.8,1.4
190,"ティモンディ",17.4,68.7,25.7,2.1,11.4,2.7,1.0,1.2,0.8
192,"浜田　雅功",17.2,86.3,36.6,1.9,13.3,5.2,1.2,0.8,1.4
192,"鈴鹿　央士",17.2,60.0,1.5,10.4,4.6,2.5,18.4,17.8,0.8
194,"城田　優",17.0,82.6,3.7,7.4,10.1,2.5,0.8,31.3,10.6
194,"ミキ",17.0,78.5,31.7,1.4,12.0,1.4,1.9,0.6,0.8
194,"柳葉　敏郎",17.0,73.7,4.6,2.9,8.9,5.6,1.0,11.2,31.3
194,"中井　貴一",17.0,69.1,6.6,5.0,10.1,7.9,0.8,11.2,28.8
194,"滝藤　賢一",17.0,68.3,7.9,2.3,30.8,3.3,1.0,4.6,12.6
199,"重岡　大毅",16.8,65.2,15.3,5.6,6.2,3.5,7.0,18.8,2.5
199,"原　嘉孝",16.8,49.7,17.6,4.4,7.7,3.5,3.3,10.3,0.8
201,"高橋　茂雄",16.6,80.5,38.9,2.7,8.9,2.9,1.4,0.8,1.2
201,"田中　卓志",16.6,83.9,39.8,1.2,17.6,4.4,0.8,0.8,1.5
201,"桐谷　健太",16.6,79.1,10.1,5.0,16.2,2.7,0.8,19.1,7.7
