"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性12～19歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
148,"中村　倫也",12.8,39.2,5.7,1.8,4.4,2.6,1.3,12.3,4.0
148,"槙野　智章",12.8,40.1,6.6,1.3,5.3,2.2,0.9,8.4,4.0
148,"宮舘　涼太",12.8,38.8,11.0,1.8,4.8,3.1,2.2,10.6,4.0
148,"松田　元太",12.8,34.8,12.3,3.5,2.2,1.3,4.0,13.2,2.2
155,"寺田　心",12.3,60.4,4.0,4.0,7.9,1.3,7.9,4.4,2.6
155,"北村　匠海",12.3,42.3,1.3,3.1,5.3,2.2,4.0,18.9,4.0
155,"佐久間　大介",12.3,44.1,8.8,2.6,4.8,1.8,4.8,15.0,0.9
155,"志尊　淳",12.3,40.1,1.8,5.7,3.1,3.5,5.3,19.8,3.5
155,"柴田　英嗣",12.3,43.2,17.2,1.3,6.6,2.2,1.3,2.2,1.3
155,"水谷　豊",12.3,41.0,3.1,0.9,6.2,7.0,0.9,8.4,15.9
155,"千葉　雄大",12.3,38.3,3.1,1.3,4.8,2.2,6.2,10.6,3.1
155,"堤　真一",12.3,34.8,4.4,1.3,5.7,3.1,0,4.0,13.2
155,"バッテリィズ",12.3,34.8,17.6,0.4,6.2,0,1.3,1.3,0.4
164,"亀梨　和也",11.9,54.6,1.8,5.3,3.5,1.3,0.4,22.9,7.0
164,"向井　康二",11.9,38.3,14.5,1.3,4.4,2.2,0.4,10.1,1.8
164,"松山　ケンイチ",11.9,36.6,4.4,0.9,7.5,2.6,0.4,7.0,4.8
164,"中井　貴一",11.9,29.5,4.0,2.6,3.5,5.7,0.9,4.0,14.5
168,"速水　もこみち",11.5,43.2,3.5,1.3,7.0,1.8,0.9,12.8,3.5
168,"福士　蒼汰",11.5,43.2,0.9,4.8,3.5,1.3,1.8,17.2,3.1
168,"藤岡　弘、",11.5,42.7,3.1,0.9,7.0,4.4,0.4,5.3,11.5
168,"向井　理",11.5,41.4,1.8,3.5,2.2,1.8,0.9,12.8,8.8
168,"織田　裕二",11.5,39.2,1.8,0,5.3,2.2,0,8.4,9.7
168,"岸　優太",11.5,41.4,9.3,1.3,2.6,0.9,2.2,12.3,0.4
168,"八嶋　智人",11.5,35.7,16.3,0.4,7.9,1.8,1.3,1.3,3.5
168,"柳楽　優弥",11.5,31.3,2.2,1.3,6.2,2.6,0.4,10.1,4.4
176,"カンニング竹山",11.0,61.2,21.6,0.9,15.9,2.2,0.4,1.8,1.3
176,"東野　幸治",11.0,60.8,19.8,0.9,8.4,2.2,0.9,1.8,1.8
176,"田中　裕二",11.0,52.0,17.6,0.9,7.0,3.5,1.8,0.9,2.2
