"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/女性50～69歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
263,"シシド・カフカ",14.1,72.9,1.7,3.0,36.9,3.3,1.2,26.3,9.7
263,"遼河　はるひ",14.1,73.3,4.3,7.1,15.6,4.5,2.6,23.4,24.4
263,"富田　望生",14.1,44.1,3.7,3.1,16.9,3.1,11.1,0.6,0.6
266,"井上　咲楽",14.0,77.9,13.4,5.6,21.4,3.8,21.8,0.9,0.9
267,"丸山　礼",13.9,66.2,31.3,1.6,25.7,1.9,2.2,1.7,1.6
268,"本上　まなみ",13.7,86.7,0.9,12.0,21.0,6.1,7.9,7.0,20.3
269,"指原　莉乃",13.3,95.0,20.0,4.1,20.6,3.6,10.2,3.3,2.2
269,"井桁　弘恵",13.3,54.4,3.5,9.8,8.5,2.9,19.6,2.3,1.4
271,"田中　麗奈",13.2,84.1,0.6,10.9,21.0,4.4,10.9,5.9,10.5
271,"飯豊　まりえ",13.2,66.1,1.0,10.7,12.9,2.4,23.6,3.1,3.4
273,"ゆうちゃみ",13.0,85.1,12.9,3.1,23.2,2.1,25.3,3.5,2.0
273,"生田　絵梨花",13.0,67.8,0.6,11.3,10.9,3.0,24.4,2.7,1.7
273,"筒井　真理子",13.0,47.4,1.9,2.6,12.9,5.1,2.2,4.7,25.5
276,"大沢　あかね",12.8,90.7,15.9,4.2,17.8,3.7,10.5,1.3,2.3
276,"橋本　愛",12.8,68.5,0.5,8.5,27.8,4.4,11.4,9.2,3.1
276,"百田　夏菜子",12.8,65.9,2.6,5.6,9.8,1.9,31.5,1.6,1.0
279,"蛯原　友里",12.5,84.7,0.2,9.7,10.7,1.7,26.0,9.8,9.7
